PlayerName,Position,Age,Season,LeftClub,JoinedClub,MarketValue,Fee,Injury_Index,Loan_Index,Matches_Played,Mins_played,90s_Played,Role_In_Prev_Club_Index,Starts,Goals_Against,Shots_on_Target_Against,Saves,Saves_Pct,Clean_Sheets,Clean_Sheets_Pct,Performance_Index,Missing_Stats?,club_left_rank,club_joined_rank,Delta_Club_Rank,Transfer_Success
angus gunn,Goalkeeper,25.0,21/22,southampton,norwich,3000000.0,5850000.0,0.0,0.0,15,1406.125,16,42.10526315789473,16,21,67,46,74.3,4,33.5,65.5858875001957,1,4,5,0,1
tom heaton,Goalkeeper,35.0,21/22,aston villa,man utd,1000000.0,0.0,0.0,0.0,21,1950.0,22,57.89473684210527,22,35,96,61,61.7,4,12.3,49.86444040889657,1,3,1,-1,0
marco silvestri,Goalkeeper,30.0,21/22,hellas verona,udinese,9000000.0,2200000.0,0.0,0.0,34,3060.0,34,89.4736842105263,34,42,131,91,72.5,7,20.6,73.3836878731379,0,4,3,-1,0
florian muller,Goalkeeper,23.0,21/22,mainz,stuttgart,8000000.0,5000000.0,0.0,0.0,31,2790.0,31,81.57894736842105,31,46,157,112,72.0,6,19.4,80.25917327065667,0,3,3,-1,0
frederik ronnow,Goalkeeper,29.0,21/22,frankfurt,union berlin,2500000.0,1000000.0,0.0,0.0,14,1261.3636363636365,14,36.84210526315789,14,22,65,43,69.8,3,23.9,54.27651218648791,1,3,5,0,1
juan musso,Goalkeeper,27.0,21/22,udinese,atalanta,20000000.0,20500000.0,0.0,0.0,35,3147.0,35,92.10526315789474,35,51,149,98,74.5,8,22.9,82.04280514964938,0,3,2,0,1
mathew ryan,Goalkeeper,29.0,21/22,brighton,real sociedad,6000000.0,0.0,0.1693421052631578,0.1847,14,1260.0,14,36.84210526315789,14,21,44,24,63.6,3,21.4,42.5059785040146,0,3,3,0,1
gianluigi donnarumma,Goalkeeper,22.0,21/22,ac milan,paris sg,60000000.0,0.0,0.0,0.0,37,3330.0,37,97.36842105263158,37,38,126,88,71.4,14,37.8,86.60566716653895,0,1,1,-1,1
daniele padelli,Goalkeeper,35.0,21/22,inter,udinese,400000.0,0.0,0.0,0.0,1,45.0,0,0.0,0,1,2,1,100.0,0,24.0,48.84715969393558,0,1,3,2,0
boris radunovic,Goalkeeper,25.0,21/22,atalanta,cagliari,300000.0,625000.0,0.0991368421052631,0.4131,16,1491.923076923077,17,44.73684210526315,17,23,71,49,69.6,4,19.9,52.50775876422492,1,2,4,2,0
