PlayerName,Position,Age,Season_x,LeftClub,JoinedClub,MarketValue,Fee,Injury_Index,Loan_Index,Matches_Played,Mins_played,90s_Played,Role_In_Prev_Club_Index,Chance_Creation_Index,Attacking_Contributions,Ball_Progression,Mistake_Rate,Midfield_Control,Defensive_Actions,Possession_Control,Performance_Index,Missing_Stats?,club_left_rank,club_joined_rank,Delta_Club_Rank,Transfer_Success,Role_Cohort
angelo fulgini,Attacking Midfield,24.0,22/23,angers,mainz,12000000,6000000.0,0.0,0.0,36,2929.0,32.5,80.65031982942432,95.0,9.0,222.0,0.0755252697331061,94.85106382978722,78.0,2040.0,56.2626760649896,0,4,3,1,0,Attacking Midfield
ante palaversa,Defensive Midfield,22.0,22/23,man city,troyes,1500000,0.0,0.0,0.0,18,1026.590909090909,11.404545454545454,32.98362085675519,30.901515151515152,2.9696969696969697,70.27272727272727,0.0894122835449608,1654.8374694813776,48.24242424242424,656.7121212121212,37.21800924512981,1,1,5,-4,0,Defensive Midfield
filip djuricic,Attacking Midfield,30.0,22/23,sassuolo,sampdoria,4000000,0.0,0.0,0.0,26,1654.7777777777778,18.391111111111112,51.19718865987523,43.9,3.644444444444445,106.06666666666666,0.0564385397785953,88.04997732426304,65.24444444444444,1224.4,40.88534252609167,1,3,3,0,0,Attacking Midfield
filip kostic,Left Midfield,30.0,22/23,frankfurt,juventus,24000000,14700000.0,0.0,0.0,24,1607.659574468085,17.861702127659573,48.15776739403288,51.74468085106383,6.276595744680851,103.76595744680851,0.0643909121978985,1057.7650237786424,65.25531914893617,1080.212765957447,45.43518883244534,1,3,1,2,1,Central Midfield
andrea colpani,Attacking Midfield,22.0,22/23,atalanta,monza,2400000,11000000.0,0.0,0.2926,33,1677.0,18.6,59.7903340440654,77.0,6.0,138.0,0.0709290709290709,54.92753623188406,44.0,987.0,40.31990213276335,0,2,5,-3,0,Attacking Midfield
fabian ruiz,Central Midfield,26.0,22/23,napoli,paris sg,55000000,22500000.0,0.0,0.0,24,1466.2337662337663,16.290909090909093,46.2040447115074,43.25974025974026,4.220779220779221,103.44155844155844,0.0666862476864897,467.7715458926901,59.46753246753247,1015.7922077922078,39.90744964803241,1,1,1,0,1,Central Midfield
paul pogba,Central Midfield,28.0,22/23,man utd,juventus,48000000,0.0,0.0,0.0,20,1349.0,15.0,39.83653162757641,52.5,10.0,151.0,0.0640074211502783,103.6764705882353,37.0,1348.0,43.84295223831733,0,1,1,0,0,Central Midfield
leander dendoncker,Defensive Midfield,26.0,22/23,wolves,aston villa,28000000,15000000.0,0.0,0.0,30,1950.0,21.7,60.07462686567165,24.5,4.0,73.0,0.033203125,86.4,88.0,1251.0,42.85531573585322,0,4,3,1,0,Defensive Midfield
vlad chiriches,Defensive Midfield,31.0,22/23,sassuolo,cremonese,1800000,2000000.0,0.0,0.0,26,1459.95,16.22,48.49680170575694,41.325,3.6,104.7,0.0548406162640596,769.120100358423,56.4,1046.0,42.57229834795667,1,3,5,-2,0,Defensive Midfield
amadou onana,Defensive Midfield,19.0,22/23,lille,everton,10000000,39870000.0,0.0,0.0,32,1359.0,15.1,54.24662402274343,31.5,1.0,83.0,0.0335403726708074,65.21739130434781,88.0,1029.0,41.19879444064278,0,2,3,-1,1,Defensive Midfield
ander herrera,Central Midfield,31.0,22/23,paris sg,bilbao athletic,4000000,0.0,0.0,0.0,19,1091.0,12.1,35.039090262970866,37.5,5.0,108.0,0.018581081081081,86.78391959798995,65.0,1702.0,48.58230151850401,0,1,3,-2,1,Central Midfield
lucas paqueta,Attacking Midfield,23.0,22/23,lyon,west ham,35000000,42950000.0,0.0,0.0,35,2699.0,30.0,76.35039090262971,101.0,15.0,227.0,0.0923302393746946,127.6,120.0,2333.0,62.58909218253248,0,1,3,-2,1,Attacking Midfield
xaver schlager,Central Midfield,23.0,22/23,wolfsburg,leipzig,27000000,12000000.0,0.0,0.0,14,1040.0,11.6,28.46481876332623,12.0,1.0,76.0,0.0500894454382826,36.01063829787234,77.0,648.0,34.257221085753926,0,3,1,2,1,Central Midfield
alexis tibidi,Attacking Midfield,17.0,22/23,stuttgart,troyes,1500000,2600000.0,0.0,0.0,13,385.0,4.3,18.19474058280029,11.5,0.0,16.0,0.1204819277108433,11.085714285714284,14.0,163.0,13.632917451723127,0,3,5,-2,0,Attacking Midfield
elvis rexhbecaj,Central Midfield,23.0,22/23,wolfsburg,augsburg,4000000,1700000.0,0.0494491228070175,0.4174,32,2542.0,28.2,70.5401563610519,44.0,0.0,114.0,0.0846366145354185,1346.0695979822008,109.0,1110.0,46.207926802980126,0,3,3,0,0,Central Midfield
philipp forster,Attacking Midfield,26.0,22/23,stuttgart,vfl bochum,2500000,500000.0,0.0,0.0,20,967.0,10.7,34.488272921108745,23.5,3.0,79.0,0.0579964850615114,33.6150234741784,35.0,657.0,31.410223391813048,0,3,5,-2,0,Attacking Midfield
