PlayerName,Position,Age,Season,LeftClub,JoinedClub,MarketValue,Fee,Loan_Index,Injury_Index,Performance_Index,Role_In_Prev_Club_Index,Delta_Club_Rank,Transfer_Success
pietro pellegri,Centre-Forward,21.0,22/23,monaco,torino,4500000.0,4200000.0,0.1329,0.5878487593984962,2.916591603202024,7.790309106098581,1,0
angel di maria,Right Winger,34.0,22/23,paris sg,juventus,12000000.0,0.0,0.0,0.0,47.68181366164012,49.20634920634921,0,0
adam ounas,Right Winger,25.0,22/23,napoli,lille,7000000.0,2500000.0,0.3818,0.6518583735643064,7.3645977586197535,6.0776942355889725,1,0
ademola lookman,Centre-Forward,24.0,22/23,leipzig,atalanta,10000000.0,10850000.0,0.0,0.0,25.74800258345812,42.34892787524367,1,1
adnan januzaj,Right Winger,27.0,22/23,real sociedad,sevilla fc,12000000.0,0.0,0.0,0.0,25.032731969748987,46.310219994430526,-1,0
yoann touzghar,Centre-Forward,35.0,22/23,troyes,ajaccio,600000.0,0.0,0.0,0.0,14.911974559798884,42.4812030075188,0,0
ivan perisic,Left Winger,30.0,22/23,inter,tottenham,10000000.0,0.0,0.1989,0.2697415371903265,51.30768941737488,63.145369123319725,1,1
sebastian polter,Centre-Forward,31.0,22/23,vfl bochum,fc schalke 04,2200000.0,1500000.0,0.0,0.0,33.546088307270395,69.91785018100808,-2,0
irvin cardona,Centre-Forward,24.0,22/23,brest,augsburg,2500000.0,500000.0,0.0,0.0,16.050337311448324,36.68198273461432,-1,0
samu castillejo,Right Winger,27.0,22/23,ac milan,valencia,4000000.0,0.0,0.0,0.0,2.445398892653746,3.1676413255360623,2,0
sadio mane,Left Winger,30.0,22/23,liverpool,bayern munich,70000000.0,32000000.0,0.0,0.0,43.73542642058571,83.50737956001115,0,1
cengiz under,Right Winger,25.0,22/23,roma,marseille,22000000.0,11400000.0,0.2845,0.31384,32.44775220720899,65.16986911723754,0,1
sasa kalajdzic,Centre-Forward,25.0,22/23,stuttgart,wolves,25000000.0,18000000.0,0.0,0.0,20.744751135204403,35.09468114731272,1,1
milan djuric,Centre-Forward,32.0,22/23,salernitana,hellas verona,1500000.0,0.0,0.0,0.0,25.54608421805748,46.36112456129737,-1,0
mohamed bayo,Centre-Forward,24.0,22/23,clermont foot,lille,12000000.0,14000000.0,0.0,0.0,44.77443783262719,70.97605123920914,-3,1
mohamed-ali cho,Right Winger,18.0,22/23,angers,real sociedad,15000000.0,13000000.0,0.0,0.0,11.873041485482569,50.44695642490702,-1,1
