Rk,Player,Save%,Season,Age,Nation,Team,Comp,Playing Time MP,Playing Time Min,Playing Time 90s,Playing Time Starts,Playing Time Subs,Playing Time unSub,Performance GA,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Pos
103,Alexander Brunst,41.2,23-24,28,de GER,Darmstadt 98,de Bundesliga,3,270,3.0,3,0,21,10,17,7,41.2,0.0,1.0,2,0.0,0.0,GK
104,Antonio Sivera,75.6,23-24,26,es ESP,Alavés,es La Liga,34,3060,34.0,34,0,4,38,123,87,75.6,11.0,8.0,15,10.0,29.4,GK
105,Arijanet Muric,80.8,23-24,24,xk KVX,Burnley,eng Premier League,10,900,10.0,10,0,25,16,78,62,80.8,2.0,4.0,4,0.0,0.0,GK
106,Cristian,66.7,23-24,25,es ESP,Valencia,es La Liga,1,57,0.6,0,1,37,1,3,2,66.7,0.0,0.0,0,0.0,,GK
107,Michael Zetterer,74.2,23-24,28,de GER,Werder Bremen,de Bundesliga,27,2430,27.0,27,0,7,37,128,92,74.2,9.0,9.0,9,6.0,22.2,GK
108,Sam Johnstone,62.7,23-24,30,eng ENG,Crystal Palace,eng Premier League,20,1796,20.0,20,0,4,27,67,41,62.7,5.0,6.0,9,6.0,30.0,GK
109,Wladimiro Falcone,71.7,23-24,28,it ITA,Lecce,it Serie A,38,3420,38.0,38,0,0,54,173,119,71.7,8.0,14.0,16,7.0,18.4,GK
110,Manuel Riemann,67.0,23-24,34,de GER,Bochum,de Bundesliga,33,2970,33.0,33,0,0,70,185,116,67.0,7.0,12.0,14,4.0,12.1,GK
111,Vanja Milinković-Savić,81.3,23-24,26,rs SRB,Torino,it Serie A,36,3240,36.0,36,0,1,31,134,103,81.3,13.0,14.0,9,18.0,50.0,GK
112,Aitor Fernández,60.0,23-24,32,es ESP,Osasuna,es La Liga,7,551,6.1,6,1,30,9,20,11,60.0,0.0,2.0,4,1.0,16.7,GK
113,Juan Musso,70.6,23-24,29,ar ARG,Atalanta,it Serie A,11,990,11.0,11,0,27,12,34,23,70.6,6.0,1.0,4,6.0,54.5,GK
114,Vincenzo Fiorillo,69.2,23-24,33,it ITA,Salernitana,it Serie A,4,360,4.0,4,0,22,8,26,18,69.2,0.0,2.0,2,0.0,0.0,GK
115,Julen Agirrezabala,66.7,23-24,22,es ESP,Athletic Club,es La Liga,4,238,2.6,2,2,34,4,12,8,66.7,1.0,0.0,1,2.0,100.0,GK
116,Sergio Herrera,64.4,23-24,30,es ESP,Osasuna,es La Liga,32,2869,31.9,32,0,6,47,132,84,64.4,12.0,7.0,13,9.0,28.1,GK
117,Frederik Rønnow,68.5,23-24,30,dk DEN,Union Berlin,de Bundesliga,33,2970,33.0,33,0,0,56,162,105,68.5,9.0,6.0,18,7.0,21.2,GK
118,Mark Flekken,65.3,23-24,30,nl NED,Brentford,eng Premier League,37,3285,36.5,37,0,0,63,176,113,65.3,10.0,9.0,18,7.0,18.9,GK
119,Neto,69.7,23-24,34,br BRA,Bournemouth,eng Premier League,32,2880,32.0,32,0,4,55,165,110,69.7,10.0,9.0,13,7.0,21.9,GK
120,Simone Aresti,100.0,23-24,37,it ITA,Cagliari,it Serie A,1,1,0.0,0,1,33,1,1,0,100.0,0.0,0.0,0,0.0,,GK
121,Vicente Guaita,70.8,23-24,36,es ESP,Celta Vigo,es La Liga,27,2403,26.7,26,1,6,39,120,83,70.8,8.0,7.0,11,6.0,23.1,GK
122,Łukasz Skorupski,75.5,23-24,32,pl POL,Bologna,it Serie A,32,2880,32.0,32,0,6,29,106,77,75.5,14.0,13.0,5,13.0,40.6,GK
123,Maduka Okoye,75.3,23-24,23,ng NGA,Udinese,it Serie A,21,1890,21.0,21,0,16,25,89,65,75.3,5.0,8.0,8,5.0,23.8,GK
124,Marko Dmitrović,66.2,23-24,31,rs SRB,Sevilla,es La Liga,13,1170,13.0,13,0,23,25,68,44,66.2,2.0,2.0,9,2.0,15.4,GK
125,Marco Sportiello,69.7,23-24,31,it ITA,Milan,it Serie A,7,630,7.0,7,0,19,11,33,23,69.7,3.0,3.0,1,2.0,28.6,GK
126,Nicola Bagnolini,100.0,23-24,19,it ITA,Bologna,it Serie A,1,5,0.1,0,1,29,0,1,1,100.0,0.0,0.0,0,0.0,,GK
127,Lukáš Hrádecký,76.5,23-24,33,fi FIN,Leverkusen,de Bundesliga,33,2970,33.0,33,0,1,24,102,78,76.5,28.0,5.0,0,15.0,45.5,GK
128,Alexandre Oukidja,72.4,23-24,35,dz ALG,Metz,fr Ligue 1,34,2987,33.2,34,0,0,57,185,128,72.4,8.0,5.0,21,6.0,17.6,GK
129,Oliver Christensen,63.2,23-24,24,dk DEN,Fiorentina,it Serie A,4,360,4.0,4,0,24,9,19,10,63.2,1.0,1.0,2,0.0,0.0,GK
130,Alexander Nübel,69.2,23-24,26,de GER,Stuttgart,de Bundesliga,30,2700,30.0,30,0,0,36,107,74,69.2,20.0,3.0,7,11.0,36.7,GK
131,Lucas Chevalier,76.4,23-24,21,fr FRA,Lille,fr Ligue 1,33,2969,33.0,33,0,0,32,123,91,76.4,16.0,10.0,7,15.0,45.5,GK
132,Alexander Meyer,66.7,23-24,32,de GER,Dortmund,de Bundesliga,8,695,7.7,7,1,26,9,27,19,66.7,4.0,1.0,2,3.0,42.9,GK
133,Simone Perilli,80.0,23-24,28,it ITA,Hellas Verona,it Serie A,1,90,1.0,1,0,37,2,10,8,80.0,0.0,1.0,0,0.0,0.0,GK
134,Matej Kovar,100.0,23-24,23,cz CZE,Leverkusen,de Bundesliga,1,90,1.0,1,0,32,0,3,3,100.0,0.0,1.0,0,1.0,100.0,GK
135,Péter Gulácsi,78.0,23-24,33,hu HUN,RB Leipzig,de Bundesliga,13,1170,13.0,13,0,16,9,41,33,78.0,9.0,4.0,0,5.0,38.5,GK
136,Mile Svilar,76.6,23-24,23,rs SRB,Roma,it Serie A,15,1350,15.0,15,0,23,19,77,58,76.6,7.0,4.0,4,5.0,33.3,GK
137,Ørjan Nyland,76.9,23-24,32,no NOR,Sevilla,es La Liga,24,2160,24.0,24,0,4,27,104,78,76.9,8.0,9.0,7,6.0,25.0,GK
138,Stefano Turati,65.1,23-24,21,it ITA,Frosinone,it Serie A,31,2745,30.5,31,0,2,58,152,94,65.1,6.0,9.0,16,4.0,12.9,GK
139,Lapo Nava,50.0,23-24,19,it ITA,Milan,it Serie A,1,3,0.0,0,1,23,1,2,1,50.0,0.0,0.0,0,0.0,,GK
140,Stefan Ortega,74.1,23-24,30,de GER,Manchester City,eng Premier League,9,635,7.1,5,4,29,7,27,20,74.1,4.0,1.0,0,3.0,60.0,GK
141,Lorenzo Montipò,69.3,23-24,27,it ITA,Hellas Verona,it Serie A,37,3330,37.0,37,0,0,49,153,105,69.3,9.0,10.0,18,8.0,21.6,GK
142,Vito Mannone,60.0,23-24,35,it ITA,2 Teams,fr Ligue 1,2,91,1.0,1,1,29,2,5,3,60.0,0.0,1.0,0,0.0,0.0,GK
143,Jonas Omlin,66.0,23-24,29,ch SUI,Gladbach,de Bundesliga,7,630,7.0,7,0,1,18,47,29,66.0,1.0,2.0,4,0.0,0.0,GK
144,Pavao Pervan,52.8,23-24,35,at AUT,Wolfsburg,de Bundesliga,9,810,9.0,9,0,25,17,36,20,52.8,2.0,1.0,6,2.0,22.2,GK
145,Jaume Doménech,75.0,23-24,32,es ESP,Valencia,es La Liga,2,79,0.9,1,1,32,3,12,9,75.0,0.0,0.0,1,0.0,0.0,GK
146,Grégoire Coudert,100.0,23-24,24,fr FRA,Brest,fr Ligue 1,3,181,2.0,2,1,31,0,4,4,100.0,2.0,0.0,0,2.0,100.0,GK
147,Iñaki Peña,56.4,23-24,24,es ESP,Barcelona,es La Liga,10,900,10.0,10,0,25,17,39,22,56.4,6.0,2.0,2,2.0,20.0,GK
148,Gregor Kobel,75.4,23-24,25,ch SUI,Dortmund,de Bundesliga,27,2365,26.3,27,0,0,34,118,84,75.4,14.0,8.0,5,7.0,25.9,GK
149,Iván Villar,63.6,23-24,26,es ESP,Celta Vigo,es La Liga,12,1014,11.3,12,0,22,18,44,26,63.6,2.0,4.0,6,0.0,0.0,GK
150,Kevin Trapp,71.5,23-24,33,de GER,Eint Frankfurt,de Bundesliga,32,2880,32.0,32,0,0,48,137,87,71.5,10.0,13.0,9,7.0,21.9,GK
