Rk,Player,Save%,Season,Age,Nation,Team,Comp,Playing Time MP,Playing Time Min,Playing Time 90s,Playing Time Starts,Playing Time Subs,Playing Time unSub,Performance GA,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Pos
121,Daniele Sommariva,66.7,24-25,27,it ITA,Genoa,it Serie A,1,28,0.3,0,1,37,1,3,2,66.7,0.0,0.0,0,0.0,,GK
122,Mark Flekken,73.4,24-25,31,nl NED,Brentford,eng Premier League,37,3275,36.4,37,0,0,55,203,150,73.4,16.0,8.0,13,7.0,18.9,GK
123,Neto,84.6,24-25,35,br BRA,2 Teams,eng Premier League,2,180,2.0,2,0,33,2,13,11,84.6,0.0,2.0,0,0.0,0.0,GK
124,Karl Jakob Hein,60.7,24-25,22,ee EST,Valladolid,es La Liga,31,2790,31.0,31,0,2,68,163,96,60.7,4.0,4.0,23,5.0,16.1,GK
125,Vicente Guaita,64.6,24-25,37,es ESP,Celta Vigo,es La Liga,34,3060,34.0,34,0,3,48,127,79,64.6,14.0,7.0,13,8.0,23.5,GK
126,Łukasz Skorupski,61.0,24-25,33,pl POL,Bologna,it Serie A,27,2364,26.3,27,0,8,33,82,50,61.0,11.0,12.0,4,8.0,29.6,GK
127,Maduka Okoye,67.3,24-25,24,ng NGA,Udinese,it Serie A,25,2250,25.0,25,0,0,40,110,73,67.3,6.0,4.0,15,4.0,16.0,GK
128,Marko Dmitrović,72.0,24-25,32,rs SRB,Leganés,es La Liga,32,2880,32.0,32,0,6,49,150,103,72.0,8.0,11.0,13,10.0,31.3,GK
129,Marco Sportiello,66.7,24-25,32,it ITA,Milan,it Serie A,2,126,1.4,1,1,29,2,6,4,66.7,1.0,0.0,0,1.0,100.0,GK
130,Lukáš Hrádecký,71.2,24-25,34,fi FIN,Leverkusen,de Bundesliga,29,2610,29.0,29,0,4,38,118,83,71.2,16.0,11.0,2,6.0,20.7,GK
131,Alexander Nübel,62.5,24-25,27,de GER,Stuttgart,de Bundesliga,34,3060,34.0,34,0,0,53,136,83,62.5,14.0,8.0,12,7.0,20.6,GK
132,Théo De Percin,77.8,24-25,23,mq MTQ,Auxerre,fr Ligue 1,2,180,2.0,2,0,30,3,9,5,77.8,0.0,1.0,1,1.0,50.0,GK
133,Antonín Kinský,65.6,24-25,21,cz CZE,Tottenham,eng Premier League,6,540,6.0,6,0,12,11,32,23,65.6,1.0,0.0,5,1.0,16.7,GK
134,Lucas Chevalier,74.6,24-25,22,fr FRA,Lille,fr Ligue 1,34,3060,34.0,34,0,0,36,126,91,74.6,17.0,9.0,8,11.0,32.4,GK
135,Gautier Larsonneur,69.4,24-25,27,fr FRA,Saint-Étienne,fr Ligue 1,34,3060,34.0,34,0,0,77,209,132,69.4,8.0,6.0,20,5.0,14.7,GK
136,Alexander Meyer,63.6,24-25,33,de GER,Dortmund,de Bundesliga,2,180,2.0,2,0,31,4,11,7,63.6,1.0,0.0,1,0.0,0.0,GK
137,Simone Perilli,81.8,24-25,29,it ITA,Hellas Verona,it Serie A,2,180,2.0,2,0,36,2,11,9,81.8,1.0,0.0,1,0.0,0.0,GK
138,Matej Kovar,68.8,24-25,24,cz CZE,Leverkusen,de Bundesliga,5,450,5.0,5,0,28,5,16,12,68.8,3.0,1.0,1,3.0,60.0,GK
139,Péter Gulácsi,73.0,24-25,34,hu HUN,RB Leipzig,de Bundesliga,30,2631,29.2,30,0,1,39,137,97,73.0,12.0,11.0,7,14.0,46.7,GK
140,Mile Svilar,79.5,24-25,24,rs SRB,Roma,it Serie A,38,3420,38.0,38,0,0,35,151,117,79.5,20.0,9.0,9,16.0,42.1,GK
141,Ørjan Nyland,67.9,24-25,33,no NOR,Sevilla,es La Liga,30,2673,29.7,30,0,4,39,112,73,67.9,8.0,10.0,12,7.0,23.3,GK
142,Joe Lumley,65.0,24-25,29,eng ENG,Southampton,eng Premier League,3,270,3.0,3,0,5,7,20,13,65.0,0.0,1.0,2,0.0,0.0,GK
143,Stefano Turati,65.5,24-25,22,it ITA,Monza,it Serie A,30,2676,29.7,30,0,4,52,145,93,65.5,2.0,7.0,21,2.0,6.7,GK
144,Adrian Rodriguez,83.3,24-25,23,es ESP,Alavés,es La Liga,2,122,1.4,1,1,23,2,6,4,83.3,0.0,1.0,0,1.0,100.0,GK
145,Stefan Ortega,68.0,24-25,31,de GER,Manchester City,eng Premier League,13,1100,12.2,12,1,25,18,50,33,68.0,5.0,4.0,3,3.0,25.0,GK
146,Lorenzo Montipò,61.5,24-25,28,it ITA,Hellas Verona,it Serie A,36,3240,36.0,36,0,1,64,161,97,61.5,9.0,7.0,20,8.0,22.2,GK
147,Fraser Forster,69.0,24-25,36,eng ENG,Tottenham,eng Premier League,7,630,7.0,7,0,11,15,42,27,69.0,1.0,2.0,4,1.0,14.3,GK
148,Jonas Omlin,66.7,24-25,30,ch SUI,Gladbach,de Bundesliga,12,978,10.9,11,1,11,26,72,45,66.7,2.0,1.0,8,1.0,9.1,GK
149,Christian Walton,56.4,24-25,28,eng ENG,Ipswich Town,eng Premier League,7,630,7.0,7,0,27,19,39,20,56.4,1.0,1.0,5,1.0,14.3,GK
150,Kauã Santos,76.1,24-25,21,br BRA,Eint Frankfurt,de Bundesliga,9,765,8.5,8,1,20,12,46,35,76.1,5.0,1.0,2,3.0,37.5,GK
151,Mads Hermansen,64.5,24-25,24,dk DEN,Leicester City,eng Premier League,27,2385,26.5,27,0,0,58,155,99,64.5,3.0,6.0,18,1.0,3.7,GK
152,Grégoire Coudert,61.5,24-25,25,fr FRA,Brest,fr Ligue 1,2,180,2.0,2,0,32,5,13,9,61.5,1.0,0.0,1,0.0,0.0,GK
153,Florian Müller,53.3,24-25,26,de GER,Freiburg,de Bundesliga,9,753,8.4,8,1,19,16,30,15,53.3,4.0,1.0,3,1.0,12.5,GK
154,Iñaki Peña,69.8,24-25,25,es ESP,Barcelona,es La Liga,16,1396,15.5,15,1,22,18,53,35,69.8,7.0,3.0,5,4.0,26.7,GK
155,Frank Feller,100.0,24-25,20,de GER,Heidenheim,de Bundesliga,2,121,1.3,1,1,14,0,2,2,100.0,1.0,0.0,0,2.0,200.0,GK
156,Gregor Kobel,66.7,24-25,26,ch SUI,Dortmund,de Bundesliga,32,2880,32.0,32,0,0,47,129,82,66.7,16.0,6.0,10,7.0,21.9,GK
157,Iván Villar,50.0,24-25,27,es ESP,Celta Vigo,es La Liga,4,360,4.0,4,0,34,9,18,10,50.0,2.0,0.0,2,0.0,0.0,GK
158,Kevin Trapp,70.9,24-25,34,de GER,Eint Frankfurt,de Bundesliga,26,2295,25.5,26,0,0,34,117,82,70.9,12.0,8.0,6,6.0,23.1,GK
159,Bart Verbruggen,65.7,24-25,21,nl NED,Brighton,eng Premier League,36,3240,36.0,36,0,0,58,143,87,65.7,14.0,13.0,9,7.0,19.4,GK
160,Daniele Padelli,100.0,24-25,38,it ITA,Udinese,it Serie A,1,90,1.0,1,0,37,0,3,3,100.0,1.0,0.0,0,1.0,100.0,GK
161,Luiz Lúcio Reis Júnior,78.8,24-25,23,br BRA,Villarreal,es La Liga,17,1458,16.2,16,1,20,18,66,48,78.8,9.0,4.0,3,5.0,31.3,GK
162,Filip Stankovic,77.1,24-25,22,rs SRB,Venezia,it Serie A,16,1367,15.2,16,0,12,23,83,60,77.1,2.0,6.0,8,0.0,0.0,GK
163,Kjetil Haug,56.3,24-25,26,no NOR,Toulouse,fr Ligue 1,6,498,5.5,5,1,11,7,16,9,56.3,2.0,2.0,1,1.0,20.0,GK
164,Danny Ward,40.0,24-25,31,wls WAL,Leicester City,eng Premier League,2,135,1.5,1,1,14,6,10,4,40.0,0.0,0.0,1,0.0,0.0,GK
165,Giorgi Mamardashvili,68.4,24-25,23,ge GEO,Valencia,es La Liga,34,3060,34.0,34,0,0,48,136,89,68.4,11.0,11.0,12,8.0,23.5,GK
166,Jesús Owono,57.1,24-25,23,gq EQG,Alavés,es La Liga,6,487,5.4,5,1,26,7,14,7,57.1,1.0,1.0,3,0.0,0.0,GK
167,Matvei Safonov,72.0,24-25,25,ru RUS,Paris S-G,fr Ligue 1,10,879,9.8,9,1,23,9,25,17,72.0,7.0,1.0,1,3.0,33.3,GK
168,Marcin Bułka,75.8,24-25,24,pl POL,Nice,fr Ligue 1,34,3060,34.0,34,0,0,41,161,120,75.8,17.0,9.0,8,8.0,23.5,GK
169,Noah Atubolu,69.2,24-25,22,de GER,Freiburg,de Bundesliga,26,2307,25.6,26,0,2,37,120,81,69.2,12.0,6.0,8,10.0,38.5,GK
170,Finn Dahmen,79.3,24-25,26,de GER,Augsburg,de Bundesliga,19,1710,19.0,19,0,10,19,82,65,79.3,7.0,6.0,6,9.0,47.4,GK
171,Dani Cárdenas,70.0,24-25,27,es ESP,Rayo Vallecano,es La Liga,6,540,6.0,6,0,32,6,20,14,70.0,3.0,1.0,2,2.0,33.3,GK
172,Pietro Terracciano,76.9,24-25,34,it ITA,Fiorentina,it Serie A,3,270,3.0,3,0,35,3,13,10,76.9,0.0,3.0,0,1.0,33.3,GK
173,Pepe Reina,68.3,24-25,41,es ESP,Como,it Serie A,12,1034,11.5,12,0,26,14,41,27,68.3,3.0,4.0,5,2.0,16.7,GK
174,Dean Henderson,66.7,24-25,27,eng ENG,Crystal Palace,eng Premier League,38,3420,38.0,38,0,0,51,150,101,66.7,13.0,14.0,11,11.0,28.9,GK
175,Robin Olsen,64.3,24-25,34,se SWE,Aston Villa,eng Premier League,4,226,2.5,1,3,26,6,14,8,64.3,1.0,0.0,0,1.0,100.0,GK
176,Arthur Desmas,61.3,24-25,30,fr FRA,Le Havre,fr Ligue 1,18,1620,18.0,18,0,15,38,93,54,61.3,5.0,0.0,13,3.0,16.7,GK
177,André Onana,68.9,24-25,28,cm CMR,Manchester Utd,eng Premier League,34,3060,34.0,34,0,0,44,132,88,68.9,10.0,9.0,15,9.0,26.5,GK
178,Rui Silva,72.2,24-25,30,pt POR,Betis,es La Liga,15,1350,15.0,15,0,0,18,54,37,72.2,5.0,5.0,5,4.0,26.7,GK
179,Luca Philipp,60.0,24-25,23,de GER,Hoffenheim,de Bundesliga,6,540,6.0,6,0,28,15,35,21,60.0,1.0,3.0,2,0.0,0.0,GK
180,Jan Oblak,78.1,24-25,31,si SVN,Atlético Madrid,es La Liga,36,3240,36.0,36,0,0,30,114,86,78.1,20.0,10.0,6,15.0,41.7,GK
181,Ben Alexander Voll,60.0,24-25,23,de GER,St. Pauli,de Bundesliga,2,91,1.0,1,1,22,2,5,3,60.0,0.0,1.0,0,0.0,0.0,GK
182,Alen Sherri,64.5,24-25,26,al ALB,Cagliari,it Serie A,7,621,6.9,7,0,31,11,31,20,64.5,1.0,2.0,4,1.0,14.3,GK
183,Yehvann Diouf,76.0,24-25,24,sn SEN,Reims,fr Ligue 1,34,3060,34.0,34,0,0,47,179,131,76.0,8.0,9.0,17,7.0,20.6,GK
184,Anthony Lopes,69.0,24-25,33,pt POR,2 Teams,fr Ligue 1,18,1563,17.4,18,0,2,26,71,46,69.0,5.0,6.0,7,3.0,16.7,GK
185,Nikola Vasilj,71.9,24-25,28,ba BIH,St. Pauli,de Bundesliga,33,2969,33.0,33,0,0,39,135,93,71.9,8.0,7.0,18,9.0,27.3,GK
186,Pierluigi Gollini,62.5,24-25,29,it ITA,2 Teams,it Serie A,7,630,7.0,7,0,24,15,32,16,62.5,1.0,2.0,4,1.0,14.3,GK
187,Unai Marrero,75.0,24-25,22,es ESP,Real Sociedad,es La Liga,2,180,2.0,2,0,36,3,12,8,75.0,0.0,0.0,2,0.0,0.0,GK
188,Álvaro Fernández,61.1,24-25,26,es ESP,Sevilla,es La Liga,9,747,8.3,8,1,29,16,36,20,61.1,2.0,1.0,5,3.0,37.5,GK
189,Thomas Dähne,69.1,24-25,30,de GER,Holstein Kiel,de Bundesliga,9,810,9.0,9,0,25,19,55,36,69.1,2.0,2.0,5,0.0,0.0,GK
190,Kevin Müller,65.7,24-25,33,de GER,Heidenheim,de Bundesliga,33,2939,32.7,33,0,0,64,169,105,65.7,7.0,5.0,21,7.0,21.2,GK
191,Adrián,65.8,24-25,37,es ESP,Betis,es La Liga,19,1710,19.0,19,0,17,27,76,49,65.8,10.0,5.0,4,3.0,15.8,GK
192,Christos Mandas,74.1,24-25,22,gr GRE,Lazio,it Serie A,9,810,9.0,9,0,29,7,27,20,74.1,3.0,5.0,1,4.0,44.4,GK
193,Maarten Vandevoordt,57.1,24-25,22,be BEL,RB Leipzig,de Bundesliga,6,429,4.8,4,2,28,9,21,12,57.1,1.0,1.0,2,0.0,0.0,GK
194,Devis Vásquez,64.8,24-25,26,co COL,Empoli,it Serie A,32,2880,32.0,32,0,6,45,125,79,64.8,6.0,12.0,14,6.0,18.8,GK
195,Hervé Koffi,76.9,24-25,27,bf BFA,Lens,fr Ligue 1,5,450,5.0,5,0,20,8,26,18,76.9,1.0,0.0,4,0.0,0.0,GK
196,Augusto Batalla,75.2,24-25,28,ar ARG,Rayo Vallecano,es La Liga,32,2880,32.0,32,0,3,39,133,93,75.2,10.0,12.0,10,8.0,25.0,GK
197,Stole Dimitrievski,58.3,24-25,30,mk MKD,Valencia,es La Liga,4,360,4.0,4,0,34,6,12,6,58.3,0.0,2.0,2,0.0,0.0,GK
198,Mike Maignan,70.6,24-25,29,fr FRA,Milan,it Serie A,37,3294,36.6,37,0,0,41,136,97,70.6,17.0,9.0,11,12.0,32.4,GK
199,Mark Travers,80.0,24-25,25,ie IRL,Bournemouth,eng Premier League,5,450,5.0,5,0,18,5,25,20,80.0,2.0,2.0,1,1.0,20.0,GK
200,Philipp Köhn,71.4,24-25,26,ch SUI,Monaco,fr Ligue 1,19,1710,19.0,19,0,15,19,63,44,71.4,11.0,5.0,3,8.0,42.1,GK
1,Filip Jørgensen,33.3,25-26,23,dk DEN,Chelsea,eng Premier League,1,84,0.9,0,1,7,2,3,1,33.3,0.0,0.0,0,0.0,,GK
2,Álvaro Vallés,61.5,25-26,28,es ESP,Betis,es La Liga,3,270,3.0,3,0,6,5,13,9,61.5,0.0,2.0,1,0.0,0.0,GK
3,Wojciech Szczęsny,54.5,25-26,35,pl POL,Barcelona,es La Liga,3,270,3.0,3,0,4,6,11,5,54.5,2.0,0.0,1,0.0,0.0,GK
4,Odysseas Vlachodimos,80.0,25-26,31,gr GRE,Sevilla,es La Liga,5,450,5.0,5,0,2,7,30,23,80.0,3.0,0.0,2,1.0,20.0,GK
5,Altay Bayındır,54.2,25-26,27,tr TUR,Manchester Utd,eng Premier League,6,540,6.0,6,0,2,11,24,13,54.2,2.0,1.0,3,0.0,0.0,GK
6,Berke Özer,64.0,25-26,25,tr TUR,Lille,fr Ligue 1,7,630,7.0,7,0,0,9,25,15,64.0,4.0,2.0,1,2.0,28.6,GK
7,Mike Penders,70.0,25-26,20,be BEL,Strasbourg,fr Ligue 1,7,630,7.0,7,0,0,10,30,20,70.0,4.0,1.0,2,3.0,42.9,GK
8,Gianluigi Donnarumma,77.8,25-26,26,it ITA,Manchester City,eng Premier League,5,450,5.0,5,0,0,2,9,7,77.8,4.0,1.0,0,3.0,60.0,GK
9,Daniel Heuer Fernandes,76.9,25-26,32,pt POR,Hamburger SV,de Bundesliga,7,630,7.0,7,0,0,10,39,28,76.9,2.0,2.0,3,3.0,42.9,GK
10,Đorđe Petrović,70.6,25-26,25,rs SRB,Bournemouth,eng Premier League,8,720,8.0,8,0,0,11,34,23,70.6,4.0,3.0,1,3.0,37.5,GK
11,Mio Backhaus,61.5,25-26,21,de GER,Werder Bremen,de Bundesliga,5,450,5.0,5,0,0,12,26,15,61.5,1.0,2.0,2,1.0,20.0,GK
12,Marco Silvestri,62.5,25-26,34,it ITA,Cremonese,it Serie A,3,270,3.0,3,0,4,6,16,10,62.5,0.0,2.0,1,0.0,0.0,GK
13,Josep Martinez,80.0,25-26,27,es ESP,Inter,it Serie A,2,180,2.0,2,0,5,1,5,4,80.0,2.0,0.0,0,1.0,50.0,GK
14,Thibaut Courtois,69.6,25-26,33,be BEL,Real Madrid,es La Liga,9,810,9.0,9,0,0,9,23,14,69.6,8.0,0.0,1,4.0,44.4,GK
15,Franco Israel,66.7,25-26,25,uy URU,Torino,it Serie A,7,630,7.0,7,0,0,13,33,20,66.7,2.0,2.0,3,3.0,42.9,GK
16,Pau López,76.2,25-26,30,es ESP,Betis,es La Liga,6,540,6.0,6,0,1,5,21,15,76.2,4.0,2.0,0,2.0,33.3,GK
17,Radosław Majecki,61.9,25-26,25,pl POL,Brest,fr Ligue 1,6,504,5.6,6,0,0,8,21,13,61.9,1.0,3.0,2,2.0,33.3,GK
18,Moritz Nicolas,58.8,25-26,27,de GER,Gladbach,de Bundesliga,7,630,7.0,7,0,0,15,34,19,58.8,0.0,3.0,4,2.0,28.6,GK
19,Lasse Rieß,58.8,25-26,24,de GER,Mainz 05,de Bundesliga,3,202,2.2,2,1,4,8,17,9,58.8,0.0,0.0,2,0.0,0.0,GK
20,James Trafford,80.0,25-26,22,eng ENG,Manchester City,eng Premier League,3,270,3.0,3,0,5,4,15,11,80.0,1.0,0.0,2,1.0,33.3,GK
21,Bernd Leno,70.6,25-26,33,de GER,Fulham,eng Premier League,8,720,8.0,8,0,0,12,34,23,70.6,2.0,2.0,4,1.0,12.5,GK
22,Ivan Provedel,81.6,25-26,31,it ITA,Lazio,it Serie A,7,630,7.0,7,0,0,7,38,31,81.6,2.0,2.0,3,3.0,42.9,GK
23,Alphonse Areola,70.0,25-26,32,fr FRA,West Ham,eng Premier League,4,360,4.0,4,0,4,7,20,13,70.0,0.0,1.0,3,0.0,0.0,GK
24,Dominik Greif,58.3,25-26,28,sk SVK,Lyon,fr Ligue 1,4,360,4.0,4,0,3,5,12,8,58.3,2.0,0.0,2,2.0,50.0,GK
25,Arnau Tenas,58.3,25-26,24,es ESP,Villarreal,es La Liga,3,270,3.0,3,0,4,6,12,6,58.3,1.0,1.0,1,0.0,0.0,GK
26,Robin Roefs,81.3,25-26,22,nl NED,Sunderland,eng Premier League,8,720,8.0,8,0,0,6,32,25,81.3,4.0,2.0,2,4.0,50.0,GK
27,Álex Remiro,63.6,25-26,30,es ESP,Real Sociedad,es La Liga,9,810,9.0,9,0,0,13,33,21,63.6,1.0,3.0,5,1.0,11.1,GK
28,Bingourou Kamara,46.7,25-26,28,sn SEN,Lorient,fr Ligue 1,3,270,3.0,3,0,5,8,15,7,46.7,1.0,0.0,2,1.0,33.3,GK
29,Martin Dúbravka,70.5,25-26,36,sk SVK,Burnley,eng Premier League,8,720,8.0,8,0,0,15,44,32,70.5,2.0,1.0,5,2.0,25.0,GK
30,Marco Bizot,71.4,25-26,34,nl NED,Aston Villa,eng Premier League,2,180,2.0,2,0,6,3,7,4,71.4,0.0,1.0,1,1.0,50.0,GK
31,Razvan Sava,57.1,25-26,23,ro ROU,Udinese,it Serie A,6,540,6.0,6,0,1,9,21,12,57.1,2.0,2.0,2,1.0,16.7,GK
32,Yann Sommer,70.0,25-26,36,ch SUI,Inter,it Serie A,5,450,5.0,5,0,2,7,20,13,70.0,3.0,0.0,2,2.0,40.0,GK
33,Mathew Ryan,68.6,25-26,33,au AUS,Levante,es La Liga,7,630,7.0,7,0,0,12,35,23,68.6,2.0,2.0,3,2.0,28.6,GK
34,Oliver Baumann,67.7,25-26,35,de GER,Hoffenheim,de Bundesliga,7,630,7.0,7,0,0,12,31,19,67.7,3.0,1.0,3,1.0,14.3,GK
35,Rémy Descamps,75.0,25-26,29,fr FRA,Lyon,fr Ligue 1,4,360,4.0,4,0,0,3,12,10,75.0,3.0,0.0,1,3.0,75.0,GK
36,Jordan Pickford,74.2,25-26,31,eng ENG,Everton,eng Premier League,8,720,8.0,8,0,0,9,31,21,74.2,3.0,2.0,3,2.0,25.0,GK
37,Nick Pope,75.9,25-26,33,eng ENG,Newcastle Utd,eng Premier League,8,720,8.0,8,0,0,7,29,22,75.9,2.0,3.0,3,5.0,62.5,GK
38,Michele Di Gregorio,72.7,25-26,28,it ITA,Juventus,it Serie A,7,630,7.0,7,0,0,7,22,15,72.7,3.0,3.0,1,3.0,42.9,GK
39,Donovan Léon,69.2,25-26,32,gf GUF,Auxerre,fr Ligue 1,6,494,5.5,6,0,0,8,26,18,69.2,2.0,1.0,3,2.0,33.3,GK
40,Zion Suzuki,77.4,25-26,22,jp JPN,Parma,it Serie A,7,630,7.0,7,0,0,7,31,23,77.4,1.0,3.0,3,2.0,28.6,GK
41,Robin Risser,74.1,25-26,20,fr FRA,Lens,fr Ligue 1,8,720,8.0,8,0,0,7,27,20,74.1,5.0,1.0,2,2.0,25.0,GK
42,Robin Zentner,62.5,25-26,30,de GER,Mainz 05,de Bundesliga,5,426,4.7,5,0,0,6,16,10,62.5,1.0,1.0,3,0.0,0.0,GK
43,Lucas Perri,50.0,25-26,27,br BRA,Leeds United,eng Premier League,3,270,3.0,3,0,1,5,8,3,50.0,1.0,1.0,1,2.0,66.7,GK
44,Unai Simón,71.0,25-26,28,es ESP,Athletic Club,es La Liga,9,810,9.0,9,0,0,9,31,23,71.0,4.0,2.0,3,2.0,22.2,GK
45,Nicola Leali,65.2,25-26,32,it ITA,Genoa,it Serie A,7,630,7.0,7,0,0,9,23,14,65.2,0.0,3.0,4,2.0,28.6,GK
46,Brice Samba,69.7,25-26,31,fr FRA,Rennes,fr Ligue 1,8,720,8.0,8,0,0,12,33,20,69.7,2.0,5.0,1,2.0,25.0,GK
47,Kamil Grabara,65.7,25-26,26,pl POL,Wolfsburg,de Bundesliga,7,630,7.0,7,0,0,13,35,22,65.7,1.0,2.0,4,0.0,0.0,GK
48,Gerónimo Rulli,76.2,25-26,33,ar ARG,Marseille,fr Ligue 1,6,540,6.0,6,0,2,5,21,16,76.2,4.0,0.0,2,2.0,33.3,GK
49,Caoimhín Kelleher,63.3,25-26,26,ie IRL,Brentford,eng Premier League,8,720,8.0,8,0,0,12,30,18,63.3,3.0,1.0,4,2.0,25.0,GK
50,Paulo Gazzaniga,72.7,25-26,33,ar ARG,Girona,es La Liga,8,672,7.5,8,0,0,13,44,31,72.7,1.0,3.0,4,1.0,12.5,GK
51,Emil Audero,91.3,25-26,28,id IDN,Cremonese,it Serie A,4,360,4.0,4,0,1,3,23,20,91.3,2.0,2.0,0,2.0,50.0,GK
52,Federico Ravaglia,100.0,25-26,25,it ITA,Bologna,it Serie A,1,90,1.0,1,0,6,0,3,3,100.0,1.0,0.0,0,1.0,100.0,GK
53,Vladyslav Krapyvtsov,44.4,25-26,20,ua UKR,Girona,es La Liga,2,136,1.5,1,1,4,6,9,3,44.4,0.0,0.0,1,0.0,0.0,GK
54,Aarón Escandell,75.0,25-26,29,es ESP,Oviedo,es La Liga,9,810,9.0,9,0,0,16,64,47,75.0,2.0,0.0,7,1.0,11.1,GK
55,Ionuț Radu,72.5,25-26,28,ro ROU,Celta Vigo,es La Liga,9,810,9.0,9,0,0,11,40,29,72.5,0.0,7.0,2,0.0,0.0,GK
56,Robert Sánchez,66.7,25-26,27,es ESP,Chelsea,eng Premier League,8,634,7.0,8,0,0,7,21,14,66.7,4.0,2.0,2,3.0,37.5,GK
57,Guillaume Restes,64.0,25-26,20,fr FRA,Toulouse,fr Ligue 1,8,720,8.0,8,0,0,12,25,13,64.0,4.0,1.0,3,3.0,37.5,GK
58,Guglielmo Vicario,77.4,25-26,28,it ITA,Tottenham,eng Premier League,8,720,8.0,8,0,0,7,31,24,77.4,4.0,2.0,2,3.0,37.5,GK
59,Emiliano Martínez,68.8,25-26,32,ar ARG,Aston Villa,eng Premier League,6,540,6.0,6,0,0,5,16,11,68.8,3.0,2.0,1,1.0,16.7,GK
60,Arnaud Bodart,50.0,25-26,27,be BEL,Lille,fr Ligue 1,1,90,1.0,1,0,7,1,2,1,50.0,0.0,0.0,1,0.0,0.0,GK
61,Alisson,56.3,25-26,32,br BRA,Liverpool,eng Premier League,6,540,6.0,6,0,0,7,16,9,56.3,5.0,0.0,1,2.0,33.3,GK
62,David de Gea,75.0,25-26,34,es ESP,Fiorentina,it Serie A,7,630,7.0,7,0,0,10,32,22,75.0,0.0,3.0,4,2.0,28.6,GK
63,Jean Butez,68.8,25-26,30,fr FRA,Como,it Serie A,7,630,7.0,7,0,0,5,16,11,68.8,3.0,3.0,1,2.0,28.6,GK
64,Matz Sels,72.1,25-26,33,be BEL,Nott'ham Forest,eng Premier League,8,720,8.0,8,0,0,15,43,28,72.1,1.0,2.0,5,0.0,0.0,GK
65,Marvin Schwäbe,74.2,25-26,30,de GER,Köln,de Bundesliga,7,630,7.0,7,0,0,10,31,21,74.2,3.0,2.0,2,2.0,28.6,GK
66,Manuel Neuer,71.4,25-26,39,de GER,Bayern Munich,de Bundesliga,7,630,7.0,7,0,0,4,14,10,71.4,7.0,0.0,0,4.0,57.1,GK
67,Joan García,83.3,25-26,24,es ESP,Barcelona,es La Liga,6,540,6.0,6,0,0,4,18,14,83.3,5.0,1.0,0,3.0,50.0,GK
68,Senne Lammens,88.9,25-26,23,be BEL,Manchester Utd,eng Premier League,2,180,2.0,2,0,3,1,9,8,88.9,2.0,0.0,0,1.0,50.0,GK
69,Marco Carnesecchi,82.1,25-26,25,it ITA,Atalanta,it Serie A,7,630,7.0,7,0,0,5,28,23,82.1,2.0,5.0,0,2.0,28.6,GK
70,David Soria,68.4,25-26,32,es ESP,Getafe,es La Liga,9,810,9.0,9,0,0,12,38,27,68.4,3.0,2.0,4,2.0,22.2,GK
71,José Sá,31.3,25-26,32,pt POR,Wolves,eng Premier League,4,360,4.0,4,0,3,11,16,5,31.3,0.0,0.0,4,0.0,0.0,GK
72,Leo Román,71.4,25-26,25,es ESP,Mallorca,es La Liga,9,810,9.0,9,0,0,14,42,27,71.4,2.0,2.0,5,1.0,11.1,GK
73,Alex Meret,75.0,25-26,28,it ITA,Napoli,it Serie A,4,360,4.0,4,0,2,4,12,8,75.0,3.0,0.0,1,2.0,50.0,GK
74,Elia Caprile,75.8,25-26,23,it ITA,Cagliari,it Serie A,7,630,7.0,7,0,0,8,33,25,75.8,2.0,2.0,3,1.0,14.3,GK
75,David Raya,83.3,25-26,29,es ESP,Arsenal,eng Premier League,8,720,8.0,8,0,0,3,18,15,83.3,6.0,1.0,1,5.0,62.5,GK
76,Antonio Sivera,71.4,25-26,28,es ESP,Alavés,es La Liga,9,810,9.0,9,0,0,8,28,20,71.4,3.0,3.0,3,2.0,22.2,GK
77,Arijanet Muric,83.9,25-26,26,xk KVX,Sassuolo,it Serie A,6,540,6.0,6,0,1,6,31,26,83.9,3.0,1.0,2,3.0,50.0,GK
78,Michael Zetterer,76.5,25-26,30,de GER,Eint Frankfurt,de Bundesliga,3,270,3.0,3,0,4,5,17,12,76.5,2.0,0.0,1,0.0,0.0,GK
79,Sam Johnstone,66.7,25-26,32,eng ENG,Wolves,eng Premier League,4,360,4.0,4,0,4,5,15,11,66.7,0.0,2.0,2,0.0,0.0,GK
80,Wladimiro Falcone,74.2,25-26,30,it ITA,Lecce,it Serie A,7,630,7.0,7,0,0,10,31,21,74.2,1.0,3.0,3,3.0,42.9,GK
81,Vanja Milinković-Savić,50.0,25-26,28,rs SRB,Napoli,it Serie A,3,270,3.0,3,0,4,3,6,3,50.0,2.0,0.0,1,0.0,0.0,GK
82,Julen Agirrezabala,66.7,25-26,24,es ESP,Valencia,es La Liga,9,810,9.0,9,0,0,14,42,28,66.7,2.0,3.0,4,3.0,33.3,GK
83,Sergio Herrera,82.2,25-26,32,es ESP,Osasuna,es La Liga,9,810,9.0,9,0,0,9,45,36,82.2,3.0,1.0,5,2.0,22.2,GK
84,Karl-Johan Johnsson,100.0,25-26,35,se SWE,Strasbourg,fr Ligue 1,1,90,1.0,1,0,7,0,2,2,100.0,1.0,0.0,0,1.0,100.0,GK
