PlayerName,Position
Ilyas Chaira                  , Left Winger       
Trevoh Chalobah               , Centre-Back       
Fallou Cham                   , Right-Back        
Brendan Chardonnet            ,                   
Pep Chavarría                 , Left-Back         
Arthur Chaves                 , Centre-Back       
Walid Cheddira                , Centre-Forward    
Chema                         , Defensive Midfield
Samir Chergui                 , Centre-Back       
Sidiki Cherif                 , Centre-Forward    
Rayan Cherki                  ,                   
Lucas Chevalier               ,                   
Fabio Chiarodia               , Centre-Back       
Federico Chiesa               , Right Winger      
Alexis Claude-Maurice         , Attacking Midfield
Jonathan Clauss               , Right-Back        
Nathaniel Clyne               , Right-Back        
Saúl Coco                     , Centre-Back       
Séamus Coleman                , Right-Back        
Maxime Colin                  , Right-Back        
Nathan Collins                , Centre-Back       
Nnamdi Collins                , Centre-Back       
Michele Collocolo             , Central Midfield  
Santiago Colombatto           , Defensive Midfield
Lorenzo Colombo               , Centre-Forward    
Santi Comesaña                , Central Midfield  
Pietro Comuzzo                , Centre-Back       
Francisco Conceição           , Right Winger      
Sirlord Conteh                , Right Winger      
Lewis Cook                    , Central Midfield  
Copete                        , Centre-Forward    
Diego Coppola                 , Centre-Back       
Francis Coquelin              , Defensive Midfield
Derek Cornelius               , Centre-Back       
Maxwel Cornet                 , Left Winger       
Félix Correia                 , Left Winger       
Thierry Correia               , Right-Back        
Coba da Costa                 , Left Winger       
Danny da Costa                , Centre-Back       
Samu Costa                    , Defensive Midfield
David Costas                  , Centre-Back       
Grégoire Coudert              , Goalkeeper        
Vladimír Coufal               , Right-Back        
Abdoul Coulibaly              , Centre-Back       
Ben Chilwell                  ,                   
Joris Chotard                 , Defensive Midfield
Andreas Christensen           , Centre-Back       
Ryan Christie                 , Central Midfield  
Carney Chukwuemeka            , Central Midfield  
Samuel Chukwueze              , Right Winger      
Víctor Chust                  , Centre-Back       
Alessandro Circati            , Centre-Back       
Charlie Cresswell             , Centre-Back       
Bryan Cristante               , Defensive Midfield
Juan Cruz Armada              ,                   
Juan Cuadrado                 , Right Midfield    
Pau Cubarsí                   , Centre-Back       
Cucho                         , Centre-Forward    
Marc Cucurella                , Left-Back         
Jorge Cuenca                  , Centre-Back       
Josh Cullen                   , Central Midfield  
Pablo Cuñat                   , Goalkeeper        
Lassana Coulibaly             , Central Midfield  
Lasso Coulibaly               , Right Winger      
Mamadou Coulibaly             , Central Midfield  
Soumaïla Coulibaly            , Centre-Back       
Woyo Coulibaly                , Right-Back        
Marius Courcoul               , Defensive Midfield
Thibaut Courtois              , Goalkeeper        
Yan Couto                     , Right Midfield    
Muhammed Damar                , Attacking Midfield
Mikkel Damsgaard              , Attacking Midfield
Arnaut Danjuma                , Left Winger       
Kévin Danois                  , Central Midfield  
Kevin Danso                   , Centre-Back       
Dante                         , Centre-Back       
Aiman Dardari                 , Left Winger       
Sergi Darder                  , Central Midfield  
Karl Darlow                   , Goalkeeper        
Matteo Darmian                , Right-Back        
Juan David Cabal              , Left-Back         
Jonathan David                , Centre-Forward    
Davinchi                      , Left-Back         
Keinan Davis                  , Centre-Forward    
Kevin De Bruyne               , Attacking Midfield
Mathys De Carvalho            , Defensive Midfield
Maxim De Cuyper               , Left-Back         
Charles De Ketelaere          , Attacking Midfield
Jeffrey De Lange              , Goalkeeper        
Manuel De Luca                , Centre-Forward    
Théo De Percin                , Goalkeeper        
Lorenzo De Silvestri          , Right-Back        
Thibault De Smet              , Left-Back         
Koni De Winter                , Centre-Back       
Alessandro Deiola             , Central Midfield  
Romain Del Castillo           , Right Winger      
Enrico Del Prato              , Right-Back        
Thomas Delaine                , Left-Back         
Liam Delap                    , Centre-Forward    
Fisayo Dele-Bashiru           , Attacking Midfield
Jair Cunha                    , Centre-Back       
Matheus Cunha                 , Second Striker    
Patrick Cutrone               , Centre-Forward    
Lucas Da Cunha                , Central Midfield  
Adam Daghim                   , Centre-Forward    
Ali Dembélé                   , Right-Back        
Ousmane Dembélé               , Centre-Forward    
Jessy Deminguet               , Central Midfield  
Ermedin Demirović             , Centre-Forward    
Rav van den Berg              , Centre-Back       
Sepp van den Berg             ,                   
Leander Dendoncker            , Defensive Midfield
Daniel Denoon                 , Centre-Back       
Nelson Deossa                 , Central Midfield  
Rémy Descamps                 , Goalkeeper        
Amad Diallo                   , Right Winger      
Habib Diallo                  , Centre-Forward    
Grady Diangana                , Right Winger      
Habib Diarra                  , Central Midfield  
Moussa Diarra                 , Centre-Back       
Rúben Dias                    , Centre-Back       
Krépin Diatta                 , Right Winger      
Mory Diaw                     , Goalkeeper        
Brahim Díaz                   , Right Winger      
Junior Diaz                   , Centre-Back       
Luis Díaz                     , Left Winger       
Pedro Díaz                    , Central Midfield  
Tyler Dibling                 , Right Winger      
Nouha Dicko                   , Centre-Forward    
Bamba Dieng                   , Centre-Forward    
Eric Dier                     , Centre-Back       
Lucas Digne                   , Left-Back         
Kevin Diks                    , Centre-Back       
Federico Dimarco              , Left-Back         
Junior Dina Ebimbe            , Right Midfield    
Eren Dinkçi                   , Right Winger      
Yan Diomandé                  , Left Winger       
Issa Diop                     , Centre-Back       
Sérigné Diop                  , Centre-Forward    
Sofiane Diop                  , Left Winger       
Andy Diouf                    , Central Midfield  
El Hadji Malick Diouf         , Left-Back         
Yehvann Diouf                 , Goalkeeper        
Assane Dioussé                , Defensive Midfield
Matías Dituro                 , Goalkeeper        
Bahmed Deuff                  , Defensive Midfield
Justin Devenny                , Attacking Midfield
Djené                         , Centre-Back       
Lohann Doucet                 , Defensive Midfield
Fodé Doucouré                 , Right-Back        
Désiré Doué                   , Right Winger      
Guela Doué                    , Right-Back        
Ismaël Doukouré               , Centre-Back       
Kamory Doumbia                , Attacking Midfield
Anastasios Douvikas           , Centre-Forward    
Artem Dovbyk                  , Centre-Forward    
Max Dowman                    , Right Winger      
Domingos Duarte               , Centre-Back       
Martin Dúbravka               , Goalkeeper        
Denzel Dumfries               , Right-Back        
Lewis Dunk                    , Centre-Back       
Pablo Durán                   , Centre-Forward    
Hugo Duro                     , Centre-Forward    
Paulo Dybala                  , Second Striker    
Edin Džeko                    , Centre-Forward    
Adam Dźwigała                 , Centre-Back       
Aron Dønnum                   , Left Midfield     
Simon Ebonog                  , Central Midfield  
Tyrhys Dolan                  , Right Winger      
Marc Domenech                 , Centre-Forward    
Benjamín Domínguez            , Left Winger       
Carlos Dominguez              , Centre-Back       
Nicolás Domínguez             , Central Midfield  
Jean-Luc Dompé                , Left Winger       
John Donald                   , Centre-Back       
Gianluigi Donnarumma          , Goalkeeper        
Chidera Ejuke                 , Left Winger       
Hjalmar Ekdal                 , Centre-Back       
Jeff Ekhator                  , Centre-Forward    
Hugo Ekitike                  , Centre-Forward    
Jurgen Ekkelenkamp            , Central Midfield  
Jacques Ekomie                , Left-Back         
Caleb Ekuban                  , Centre-Forward    
