PlayerName,Position
Leopold Querfeld              , Centre-Back       
Dani Raba                     , Second Striker    
Adrien Rabiot                 , Central Midfield  
Uroš Radaković                , Centre-Back       
Ionuț Radu                    , Goalkeeper        
Stefan Posch                  , Centre-Back       
Freddie Potts                 , Defensive Midfield
Yussuf Poulsen                , Centre-Forward    
Beñat Prados                  , Central Midfield  
Alexander Prass               , Left-Back         
Matteo Prati                  , Defensive Midfield
Abdón Prats                   , Centre-Forward    
Grischa Prömel                , Central Midfield  
Ivan Provedel                 , Goalkeeper        
Javi Puado                    , Left Winger       
Ugo Raghouber                 , Defensive Midfield
Antonio Raillo                , Centre-Back       
Ylber Ramadani                , Defensive Midfield
Diant Ramaj                   , Goalkeeper        
Largie Ramazani               , Left Winger       
Jacobo Ramón                  , Centre-Back       
Gonçalo Ramos                 , Centre-Forward    
Guilherme Ramos               , Centre-Back       
Jacob Ramsey                  , Central Midfield  
Luca Ranieri                  , Centre-Back       
Grant Ranos                   ,                   
Lilian Raolisoa               , Right-Back        
Raphinha                      , Left Winger       
Marcus Rashford               , Left Winger       
Giacomo Raspadori             , Second Striker    
Andrei Ratiu                  , Right-Back        
Raúl                          , Centre-Back       
David Raum                    , Left-Back         
Federico Ravaglia             , Goalkeeper        
David Raya                    , Goalkeeper        
Abde Rebbach                  , Left Winger       
Federico Redondo              , Defensive Midfield
Alejandro Rego                , Central Midfield  
Tijjani Reijnders             , Central Midfield  
Alberto Reina                 , Central Midfield  
Vitor Reis                    , Centre-Back       
Rocco Reitz                   , Central Midfield  
Nicolai Remberg               , Defensive Midfield
Álex Remiro                   , Goalkeeper        
Devyne Rensch                 , Right-Back        
Guillaume Restes              , Goalkeeper        
Elvis Rexhbeçaj               , Central Midfield  
Oriol Rey                     , Defensive Midfield
Gio Reyna                     , Attacking Midfield
Alexsandro Ribeiro            , Centre-Back       
Samuele Ricci                 , Defensive Midfield
Declan Rice                   , Central Midfield  
Chris Richards                , Centre-Back       
Richarlison                   , Centre-Forward    
Diego Rico                    , Left-Back         
Clemens Riedel                , Centre-Back       
Fabian Rieder                 , Attacking Midfield
Lasse Rieß                    , Goalkeeper        
Chris Rigg                    , Attacking Midfield
Hugo Rincón                   , Right-Back        
Luis Rioja                    , Left Winger       
Rodrigo Riquelme              , Left Winger       
Robin Risser                  , Goalkeeper        
Mihailo Ristić                , Left-Back         
Lars Ritzka                   , Left-Back         
Sergi Roberto                 , Central Midfield  
Patrick Roberts               , Right Winger      
Andrew Robertson              , Left-Back         
Antonee Robinson              , Left-Back         
Joel Roca                     , Left Winger       
Marc Roca                     , Defensive Midfield
Joe Rodon                     , Centre-Back       
Rodri                         , Defensive Midfield
Álvaro Rodríguez              , Defender          
Damián Rodríguez              , Defensive Midfield
Dani Rodríguez                , Attacking Midfield
Guido Rodríguez               , Defensive Midfield
Javi Rodríguez                , Centre-Back       
Jesus Rodríguez               , Left Winger       
Ricardo Rodríguez             , Left-Back         
Rodrygo                       , Right Winger      
Robin Roefs                   , Goalkeeper        
Morgan Rogers                 , Attacking Midfield
Merlin Röhl                   , Attacking Midfield
Filippo Romagna               , Centre-Back       
Alessio Romagnoli             , Centre-Back       
Leo Román                     , Goalkeeper        
Antonio Rüdiger               , Centre-Back       
Javier Rueda Garcia           , Right-Back        
Daniele Rugani                , Centre-Back       
Matteo Ruggeri                , Left-Back         
Aitor Ruibal                  , Right Winger      
Fabián Ruiz Peña              , Central Midfield  
Gerónimo Rulli                , Goalkeeper        
Georginio Rutter              , Centre-Forward    
Mathew Ryan                   , Goalkeeper        
Julian Ryerson                , Right-Back        
Marten de Roon                , Defensive Midfield
Pablo Rosario                 , Defensive Midfield
Max Rosenfelder               , Centre-Back       
Valentin Rosier               , Right-Back        
Frederik Rønnow               , Goalkeeper        
Alexander Røssing-Lelesiit    , Left Winger       
José Sá                       , Sweeper           
Elias Saad                    , Left Winger       
Stefano Sabelli               , Right-Back        
Marcel Sabitzer               , Central Midfield  
Noah Sadiki                   , Central Midfield  
Umar Sadiq                    , Centre-Forward    
Alexis Saelemaekers           , Right Midfield    
Emir Sahiti                   , Right Winger      
Osame Sahraoui                , Left Winger       
Wesley Saïd                   , Centre-Forward    
Bukayo Saka                   , Right Winger      
Mathis Saka                   , Attacking Midfield
Álex Sala                     , Central Midfield  
Ibrahim Salah                 , Left Winger       
Mohamed Salah                 , Right Winger      
Jan Salas                     , Central Midfield  
Kike Salas                    , Centre-Back       
Manolis Saliakas              , Right-Back        
William Saliba                , Centre-Back       
José Salinas                  , Left-Back         
Mohammed Salisu               , Centre-Back       
Lazar Samardzic               , Attacking Midfield
Mbwana Samatta                ,                   
Mama Samba Baldé              , Centre-Forward    
Brice Samba                   , Goalkeeper        
Albert Sambi Lokonga          , Central Midfield  
Antonio Sanabria              , Centre-Forward    
Oihan Sancet                  , Attacking Midfield
Alexis Sánchez                , Centre-Forward    
Antonio Sánchez               , Central Midfield  
Juanlu Sánchez                , Right-Back        
Borja Sánchez Laborde         , Left Winger       
Manu Sánchez                  , Left-Back         
Robert Sánchez                , Goalkeeper        
Jadon Sancho                  , Left Winger       
Álex Sancris                  , Right Winger      
Philipp Sander                , Central Midfield  
James Sands                   , Defensive Midfield
Yellu Santiago                , Central Midfield  
Andrey Santos                 , Central Midfield  
Kauã Santos                   , Goalkeeper        
Tiago Santos                  , Right-Back        
Jeremy Sarmiento              , Left Winger       
Amin Sarr                     , Centre-Forward    
Ismaila Sarr                  , Right Winger      
Malang Sarr                   , Centre-Back       
Mamadou Sarr                  , Centre-Back       
Martin Satriano               , Centre-Forward    
Ibou Sané                     , Centre-Back       
Sadibou Sané                  , Centre-Back       
Arouna Sangante               , Centre-Back       
Ibrahim Sangaré               , Defensive Midfield
Mamadou Sangare               , Central Midfield  
Nhoa Sangui                   , Left-Back         
Maroan Sannadi                , Centre-Forward    
Kaishu Sano                   , Defensive Midfield
Morgan Sanson                 , Central Midfield  
Baptiste Santamaria           , Defensive Midfield
Derry Scherhant               , Left Winger       
Patrik Schick                 , Centre-Forward    
Stefan Schimmer               , Centre-Forward    
Xaver Schlager                , Central Midfield  
Keven Schlotterbeck           , Centre-Back       
Nico Schlotterbeck            , Centre-Back       
Romano Schmid                 , Attacking Midfield
Isaac Schmidt                 , Left-Back         
Joël Schmied                  , Centre-Back       
Jan Schöppner                 , Central Midfield  
Marvin Schwäbe                , Goalkeeper        
Léo Scienza                   , Left Winger       
Alex Scott                    , Central Midfield  
Sebastian Sebulonsen          , Right-Back        
Jenson Seelt                  , Centre-Back       
Alidu Seidu                   , Centre-Back       
Nicolas Seiwald               , Central Midfield  
Ayumu Seko                    , Centre-Back       
Matz Sels                     , Goalkeeper        
Antoine Semenyo               , Right Winger      
Adrian Šemper                 , Goalkeeper        
Marvin Senaya                 , Right-Back        
Marcos Senesi                 , Centre-Back       
Suat Serdar                   , Central Midfield  
Nicolás Serrano               , Left Winger       
Benjamin Šeško                , Centre-Forward    
Ryan Sessegnon                , Left-Back         
Stephan El Shaarawy           , Left Winger       
Luke Shaw                     , Left-Back         
Kwasi Sibo                    , Central Midfield  
Djibril Sidibé                , Right-Back        
Armindo Sieb                  , Second Striker    
Jamil Siebert                 , Centre-Back       
Francisco Sierralta           , Centre-Back       
Tim Siersleben                , Centre-Back       
André Silva                   , Centre-Forward    
Bernardo Silva                , Attacking Midfield
Caio Henrique Oliveira Silva  , Left-Back         
Fábio Silva                   , Centre-Forward    
Jota Silva                    , Right Winger      
Mario Sauer                   , Attacking Midfield
Marco Silvestri               , Goalkeeper        
Abdallah Sima                 , Left Winger       
Giovanni Simeone              , Centre-Forward    
Giuliano Simeone              , Right Winger      
Moses Simon                   , Left Winger       
Unai Simón                    , Goalkeeper        
Xavi Simons                   , Attacking Midfield
Danel Sinani                  , Attacking Midfield
Lassine Sinayoko              , Centre-Forward    
Antonio Sivera                , Goalkeeper        
Ivan Smolčić                  , Right-Back        
Simon Sohm                    , Central Midfield  
Alex Sola                     , Right Winger      
Dominic Solanke               , Centre-Forward    
Carlos Soler                  , Central Midfield  
Julio Soler                   , Left-Back         
Oumar Solet                   , Centre-Back       
Jhon Solis                    , Central Midfield  
Manor Solomon                 , Left Winger       
Yann Sommer                   , Goalkeeper        
Telli Siwe                    , Centre-Back       
Tim Skarke                    , Centre-Forward    
Ellyes Skhiri                 , Defensive Midfield
Leo Skiri Østigård            , Centre-Back       
Łukasz Skorupski              , Goalkeeper        
Andreas Skov Olsen            , Right Winger      
Robert Skov                   , Left Midfield     
Adam Smith                    , Right-Back        
Eric Smith                    , Centre-Back       
Emile Smith Rowe              , Attacking Midfield
Oliver Sonne                  , Right-Back        
David Soria                   , Goalkeeper        
Hugo Sotelo                   , Central Midfield  
Florian Sotoca                , Centre-Forward    
Riccardo Sottil               , Left Winger       
Tomáš Souček                  , Defensive Midfield
Matìas Soulé                  , Right Winger      
Aboubaka Soumahoro            , Centre-Back       
Sambou Soumano                , Centre-Forward    
Issa Soumaré                  , Left Winger       
Vinicius Souza                , Defensive Midfield
Djibril Sow                   , Central Midfield  
Djed Spence                   , Left-Back         
Leonardo Spinazzola           , Left-Back         
Anton Stach                   , Defensive Midfield
Jens Stage                    , Central Midfield  
Benjamin Stambouli            , Defensive Midfield
Nicolae Stanciu               , Attacking Midfield
Otto Stange                   , Centre-Forward    
Josip Stanišić                , Right-Back        
Carl Starfelt                 , Centre-Back       
Niklas Stark                  , Centre-Back       
Orri Steinn Óskarsson         , Centre-Forward    
Calvin Stengs                 , Attacking Midfield
Angelo Stiller                , Defensive Midfield
Kevin Stöger                  , Attacking Midfield
John Stones                   , Centre-Back       
Jørgen Strand Larsen          , Centre-Forward    
Pascal Struijk                , Centre-Back       
Cristhian Stuani              , Centre-Forward    
Nikola Štulić                 , Centre-Forward    
Denis Suárez                  , Attacking Midfield
Gabriel Suazo                 , Left-Back         
Luka Sučić                    , Central Midfield  
Petar Sucic                   , Central Midfield  
Yukinari Sugawara             , Right-Back        
Pavel Šulc                    , Attacking Midfield
Niklas Süle                   , Centre-Back       
Kamaldeen Sulemana            , Left Winger       
Crysencio Summerville         , Left Winger       
Alexander Sørloth             , Centre-Forward    
Musa Al-Taamari               ,                   
Haris Tabakovic               , Centre-Forward    
Nicolás Tagliafico            , Left-Back         
Jonathan Tah                  , Centre-Back       
Chemsdine Talbi               , Right Winger      
Montassar Talbi               , Centre-Back       
Adrien Tameze                 , Defensive Midfield
Ao Tanaka                     , Central Midfield  
Axel Tapé                     , Centre-Back       
Yuito Suzuki                  , Attacking Midfield
Zion Suzuki                   , Goalkeeper        
Mattias Svanberg              , Central Midfield  
Daniel Svensson               , Left Midfield     
Mile Svilar                   , Goalkeeper        
Williot Swedberg              , Left Winger       
Lamine Sy                     , Centre-Forward    
Fodé Sylla                    , Defensive Midfield
Wojciech Szczęsny             , Goalkeeper        
Dominik Szoboszlai            , Attacking Midfield
Edmond Tapsoba                , Centre-Back       
James Tarkowski               , Centre-Back       
César Tárrega                 , Centre-Back       
Tylel Tati                    , Centre-Back       
Nuno Tavares                  , Left-Back         
Marcus Tavernier              , Left Midfield     
Loum Tchaouna                 , Right Winger      
Jackson Tchatchoua            , Right-Back        
Aurélien Tchouaméni           , Defensive Midfield
Mathys Tel                    , Centre-Forward    
Florian Thauvin               , Second Striker    
Arthur Theate                 , Centre-Back       
Thiago                        , Central Midfield  
Malick Thiaw                  , Centre-Back       
Jan Thielmann                 , Right Winger      
Adrien Thomasson              , Attacking Midfield
Morten Thorsby                , Central Midfield  
Kristian Thorstvedt           , Attacking Midfield
Khéphren Thuram               , Central Midfield  
Marcus Thuram                 , Centre-Forward    
Cheikh Tidiane Sabaly         ,                   
Youri Tielemans               , Central Midfield  
Phillip Tietz                 , Centre-Forward    
Malik Tillman                 , Attacking Midfield
Jurriën Timber                , Right-Back        
Jean-Clair Todibo             , Centre-Back       
Umut Tohumcu                  , Central Midfield  
Corentin Tolisso              , Central Midfield  
Jeremy Toljan                 , Right-Back        
Tiago Tomás                   , Centre-Forward    
Fikayo Tomori                 , Centre-Back       
Sandro Tonali                 , Defensive Midfield
Keke Topp                     , Centre-Forward    
Pablo Torre                   , Attacking Midfield
Jofre Torrents                , Left-Back         
Ferrán Torres                 , Centre-Forward    
Pau Torres                    , Centre-Back       
Lucas Torró                   , Defensive Midfield
Jordan Torunarigha            , Centre-Back       
Abdoulaye Touré               , Defensive Midfield
Alpha Touré                   , Defensive Midfield
Bazoumana Touré               , Left Winger       
Idrissa Touré                 , Right Midfield    
Ousmane Toure                 , Centre-Back       
Lucas Tousart                 , Central Midfield  
James Trafford                , Goalkeeper        
Mattéo Tramoni                , Attacking Midfield
Adama Traoré                  , Right Winger      
Bertrand Traoré               , Right Winger      
Boubacar Traoré               , Defensive Midfield
Hamari Traoré                 , Right-Back        
Omar Traoré                   , Right-Back        
Kevin Trapp                   , Goalkeeper        
Óscar Trejo                   , Attacking Midfield
Philipp Treu                  , Right-Back        
Christopher Trimmel           , Right-Back        
Kieran Trippier               , Right-Back        
Mariano Troilo                , Centre-Back       
Leandro Trossard              , Left Winger       
Adrien Truffert               , Left-Back         
Nathan Tella                  , Right Winger      
Kostas Tsimikas               , Left-Back         
Heorhii Tsitaishvili          , Right Winger      
Viktor Tsyhankov              , Right Winger      
Axel Tuanzebe                 , Centre-Back       
Stefano Turati                , Goalkeeper        
Beñat Turrientes              , Central Midfield  
Stefanos Tzimas               , Centre-Forward    
Christantus Uche              , Centre-Forward    
Destiny Udogie                , Left-Back         
Matthieu Udol                 , Left-Back         
Manuel Ugarte                 , Defensive Midfield
Lesley Ugochukwu              , Defensive Midfield
Filip Ugrinic                 , Central Midfield  
Lukas Ullrich                 , Left-Back         
Deniz Undav                   , Centre-Forward    
Dayot Upamecano               , Centre-Back       
Jan Urbich                    , Centre-Forward    
Can Uzun                      , Attacking Midfield
Josha Vagnoman                , Right-Back        
Lautaro Valenti               , Centre-Back       
Óscar Valentín                , Central Midfield  
Nicolás Valentini             , Centre-Back       
Germán Valera                 , Right Winger      
Emanuele Valeri               , Left-Back         
Martin Valjent                , Centre-Back       
Álex Valle                    , Left-Back         
Álvaro Vallés                 , Goalkeeper        
Federico Valverde             , Central Midfield  
Ignace Van Der Brempt         , Right-Back        
Virgil van Dijk               , Centre-Back       
Vladyslav Vanat               , Centre-Forward    
Jari Vandeputte               , Central Midfield  
Vanderson                     , Right-Back        
Charles Vanhoutte             , Defensive Midfield
Jamie Vardy                   , Centre-Forward    
Ruben Vargas                  , Left Winger       
Nikola Vasilj                 , Goalkeeper        
Johan Vásquez                 , Centre-Back       
José Luis García Vayá         , Defensive Midfield
Robinio Vaz                   , Centre-Forward    
Franco Vázquez                , Attacking Midfield
Jesus Vazquez                 , Left-Back         
Lucas Vázquez                 , Right-Back        
Matías Vecino                 , Central Midfield  
Danilo Veiga                  , Right-Back        
Renato Veiga                  , Centre-Back       
Joël Veltman                  , Right-Back        
Micky van de Ven              , Centre-Back       
Unai Vencedor Paris           , Central Midfield  
Lorenzo Venturino             , Right Winger      
Nikolas Veratschnig           , Right-Back        
Bart Verbruggen               , Goalkeeper        
Calvin Verdonk                , Left-Back         
Antonio Vergara               , Attacking Midfield
Arthur Vermeeren              , Defensive Midfield
Jozhua Vertrouwd              , Centre-Back       
Mikel Vesga                   , Defensive Midfield
Guglielmo Vicario             , Goalkeeper        
Carlos Vicente                , Right Winger      
Nacho Vidal                   , Right-Back        
Nikola Vlašić                 , Attacking Midfield
Mërgim Vojvoda                , Right-Back        
Cristian Volpato              , Attacking Midfield
Alexis Vossah                 , Central Midfield  
Aster Vranckx                 , Central Midfield  
Stefan de Vrij                , Centre-Back       
İsak Vural                    , Central Midfield  
Luka Vušković                 , Centre-Back       
Yannik Wagner                 , Left Winger       
Elye Wahi                     , Centre-Forward    
Hauke Wahl                    , Centre-Back       
Luca Waldschmidt              , Centre-Forward    
Kyle Walker                   , Right-Back        
Kyle Walker-Peters            , Right-Back        
Sebastian Walukiewicz         , Centre-Back       
Aaron Wan-Bissaka             , Right-Back        
James Ward-Prowse             , Central Midfield  
Ollie Watkins                 , Centre-Forward    
Timothy Weah                  , Right Winger      
Tobias Weigel                 , Right Winger      
Nelson Weiper                 , Centre-Forward    
Danny Welbeck                 , Centre-Forward    
Timo Werner                   , Left Winger       
Wesley                        , Centre-Back       
Adam Wharton                  , Defensive Midfield
Ben White                     , Right-Back        
Silvan Widmer                 , Right-Back        
Mats Wieffer                  , Defensive Midfield
Iñaki Williams                , Right Winger      
Neco Williams                 , Left-Back         
Nico Williams                 , Left Winger       
Estêvão Willian               , Right Winger      
Joe Willock                   , Central Midfield  
Callum Wilson                 , Centre-Forward    
Harry Wilson                  , Right Winger      
Patrick Wimmer                , Right Winger      
Jonas Wind                    , Centre-Forward    
Ben Winterburn                , Defensive Midfield
Florian Wirtz                 , Attacking Midfield
Axel Witsel                   , Defensive Midfield
Fabio Vieira                  , Attacking Midfield
Julián Vignolo                , Centre-Forward    
Marius Wolf                   , Right-Back        
Nick Woltemade                , Centre-Forward    
Jeong Woo-yeong               ,                   
Chris Wood                    , Centre-Forward    
Christopher Wooh              , Centre-Back       
Joe Worrall                   , Centre-Back       
Granit Xhaka                  , Defensive Midfield
Lamine Yamal                  , Right Winger      
Yehor Yarmoliuk               , Central Midfield  
Ryan Yates                    , Central Midfield  
Terry Yegbe                   , Centre-Back       
Bertuğ Yıldırım               , Centre-Forward    
Kenan Yıldız                  , Left Winger       
Darlin Yongwa                 , Left-Back         
Leny Yoro                     , Centre-Back       
Etienne Youte Kinkoue         , Centre-Back       
Illia Zabarnyi                , Centre-Back       
Mattia Zaccagni               , Left Winger       
Warren Zaïre-Emery            , Central Midfield  
Denis Zakaria                 , Defensive Midfield
Arsen Zakharyan               , Attacking Midfield
Nicola Zalewski               , Left Midfield     
Andre-Frank Zambo Anguissa    , Central Midfield  
Nicolò Zaniolo                , Attacking Midfield
Alessandro Zanoli             , Right-Back        
Duván Zapata                  , Centre-Forward    
Gabriele Zappa                , Right-Back        
Davide Zappacosta             , Right Midfield    
Bryan Zaragoza                , Left Winger       
Oier Zarraga                  , Central Midfield  
Joshua Zirkzee                , Centre-Forward    
Budu Zivzivadze               , Centre-Forward    
Luck Zogbé                    , Right-Back        
Nadir Zortea                  , Right-Back        
Yanis Zouaoui                 , Left-Back         
Igor Zubeldia                 , Centre-Back       
Martín Zubimendi              , Defensive Midfield
Martin Ødegaard               , Attacking Midfield
Milan Đurić                   ,                   
Aaron Zehnter                 , Left-Back         
Jordan Zemura                 , Left-Back         
Robin Zentner                 , Goalkeeper        
Alessio Zerbin                , Right Midfield    
Cedric Zesiger                , Centre-Back       
Michael Zetterer              , Goalkeeper        
Edon Zhegrova                 , Right Winger      
Piotr Zieliński               , Central Midfield  
Oleksandr Zinchenko           , Left-Back         
Jan Ziółkowski                , Centre-Back       
Noah Atubolu                  , Goalkeeper        
Pierre-Emerick Aubameyang     , Centre-Forward    
Emil Audero                   , Goalkeeper        
Carlos Augusto                , Left-Back         
Iván Balliu                   , Right-Back        
Daniel Boloca                 , Defensive Midfield
Moïse Bombito                 , Centre-Back       
Federico Bonazzoli            , Centre-Forward    
Warren Bondo                  , Central Midfield  
Giovanni Bonfanti             , Centre-Back       
Victor Boniface               , Centre-Forward    
Rahim Bonkano                 ,                   
Ange-Yoan Bonny               , Centre-Forward    
Marco Brescianini             , Central Midfield  
Abel Bretones                 , Left-Back         
Sascha Britschgi              , Right-Back        
Pathé Ciss                    , Central Midfield  
Djaoui Cissé                  , Central Midfield  
Patrice Čović                 , Attacking Midfield
Nicolas Cozza                 , Left-Back         
Saud Abdulhamid               , Right-Back        
Laurent Abergel               , Defensive Midfield
Bambo Diaby                   , Centre-Back       
Mouctar Diakhaby              , Centre-Back       
Bafodé Diakité                , Centre-Back       
Harouna Djibrin               , Right Winger      
Berat Djimsiti                , Centre-Back       
Marko Dmitrović               , Goalkeeper        
Ritsu Doan                    , Right Winger      
Dodô                          , Right-Back        
Danilho Doekhi                , Centre-Back       
Matt Doherty                  , Right-Back        
Finn Dahmen                   , Goalkeeper        
Mahmoud Dahoud                , Central Midfield  
Eberechi Eze                  , Attacking Midfield
Abde Ezzalzouli               , Left Winger       
Giovanni Fabbian              , Attacking Midfield
Alieu Fadera                  , Left Winger       
Roberto Férnandez             , Goalkeeper        
Toni Fernández                , Right Winger      
Matias Fernandez-Pardo        , Left Winger       
Junior Firpo                  , Left-Back         
Jonathan Fischer              , Goalkeeper        
Kilian Fischer                , Right-Back        
Mark Flekken                  , Goalkeeper        
Zian Flemming                 , Centre-Forward    
Romano Floriani               , Right-Back        
Phil Foden                    , Right Winger      
Martial Godo                  , Left Winger       
Maxima Goffi                  , Centre-Back       
Saba Goglichidze              , Centre-Back       
Edoardo Goldaniga             , Centre-Back       
Aleksandr Golovin             , Attacking Midfield
André Gomes                   , Central Midfield  
Emil Holm                     , Right-Back        
Franck Honorat                , Right Winger      
Mathias Honsak                , Left Winger       
Ali Houary                    , Second Striker    
Andreas Hountondji            , Centre-Forward    
Lukáš Hrádecký                , Goalkeeper        
Robin Hranáč                  , Centre-Back       
Timo Hübers                   , Centre-Back       
Isak Jansson                  , Left Winger       
Adnan Januzaj                 , Right Winger      
Josh Doig                     , Left-Back         
Hamed Junior Traorè           , Left Winger       
Vinicius Júnior               , Left Winger       
Josip Juranović               , Right-Back        
James Justin                  , Right-Back        
Ferran Jutglà                 , Centre-Forward    
Filip Jørgensen               , Goalkeeper        
Sandi Lovrić                  , Central Midfield  
Pol Lozano                    , Central Midfield  
Sergio Lozano                 , Defensive Midfield
Lorenzo Lucca                 , Centre-Forward    
Jhon Lucumí                   , Centre-Back       
Senny Mayulu                  , Central Midfield  
Ibrahim Maza                  , Attacking Midfield
Noussair Mazraoui             , Right-Back        
Luca Mazzitelli               , Central Midfield  
Samuel Mbangula               , Left Winger       
Ethan Mbappé                  , Central Midfield  
Matias Moreno                 , Centre-Back       
Tete Morente                  , Left Winger       
Stefano Moreo                 , Attacking Midfield
Mateu Morey                   , Right-Back        
Ilaix Moriba                  , Central Midfield  
Manu Morlanes                 , Central Midfield  
Luca Moro                     , Centre-Forward    
Nikola Moro                   , Defensive Midfield
Tyler Morton                  , Defensive Midfield
Víctor Muñoz                  , Central Midfield  
Eddie Nketiah                 , Centre-Forward    
Niels Nkounkou                , Left-Back         
Christopher Nkunku            , Centre-Forward    
Luca Jaquez                   , Centre-Back       
Ardon Jashari                 , Defensive Midfield
Felix Nmecha                  , Central Midfield  
Lukas Nmecha                  , Centre-Forward    
Arnaud Nordin                 , Right Winger      
Brooke Norton-Cuffy           , Right-Back        
Tijjani Noslin                , Right Winger      
Miguel Román                  , Central Midfield  
Carlos Romero                 , Attack            
Cristian Romero               , Centre-Back       
Isaac Romero                  , Centre-Forward    
Iván Romero                   , Centre-Forward    
Rômulo                        , Centre-Forward    
Salomón Rondón                , Centre-Forward    
Valentin Rongier              , Central Midfield  
Tom Rothe                     , Left-Back         
Anthony Rouault               , Centre-Back       
Nicolò Rovella                , Defensive Midfield
Jonathan Rowe                 , Left Winger       
Amir Rrahmani                 , Centre-Back       
Rubén                         , Centre-Back       
Razvan Sava                   , Goalkeeper        
Sávio                         , Left Winger       
Nicolò Savona                 , Right-Back        
Joe Scally                    , Right-Back        
Giorgio Scalvini              , Centre-Back       
Gianluca Scamacca             , Centre-Forward    
Kevin Schade                  , Left Winger       
András Schäfer                , Central Midfield  
Fabian Schär                  , Centre-Back       
Nahuel Tenaglia               , Right-Back        
Arnau Tenas                   , Goalkeeper        
Filippo Terracciano           , Right-Back        
Pietro Terracciano            , Goalkeeper        
Ramón Terrats                 , Central Midfield  
Martin Terrier                , Left Winger       
Tanner Tessmann               , Defensive Midfield
Kenny Tete                    , Right-Back        
Jordan Teze                   , Right-Back        
Federico Viñas                , Centre-Forward    
Jan Virgili                   , Left Winger       
Mattia Viti                   , Centre-Back       
Martin Vitík                  , Centre-Back       
Vitinha                       , Defensive Midfield
Daniel Vivian                 , Centre-Back       
Odysseas Vlachodimos          , Goalkeeper        
Dušan Vlahović                , Centre-Forward    
Diogo Dalot                   , Right-Back        
Kiernan Dewsbury-Hall         , Central Midfield  
Michele Di Gregorio           , Goalkeeper        
Giovanni Di Lorenzo           , Right-Back        
Alessandro Di Pardo           , Right-Back        
Boulaye Dia                   , Centre-Forward    
Jeremy Doku                   , Left Winger       
Patrick Dorgu                 , Left-Back         
Niklas Dorsch                 , Defensive Midfield
CJ Egan-Riley                 , Centre-Back       
Matthis Abline                , Centre-Forward    
Abner                         , Left-Back         
Zakaria Aboukhlal             , Right Winger      
Lorenz Assignon               , Right-Back        
Dehmaine Assoumani            , Central Midfield  
Otavio Ataide                 , Centre-Back       
Zachary Athekame              , Right-Back        
Arthur Atta                   , Central Midfield  
Ameen Al-Dakhil               , Centre-Back       
Thijs Dallinga                , Centre-Forward    
Anthony Jung                  , Centre-Back       
Eli Junior Kroupi             ,                   
Luiz Lúcio Reis Júnior        , Goalkeeper        
Maximilian Eggestein          , Central Midfield  
Kingsley Ehizibue             , Right-Back        
Ovie Ejaria                   , Left Winger       
Evanilson                     , Centre-Forward    
Edu Expósito                  , Central Midfield  
Mikel Jauregizar              , Central Midfield  
Finn Jeltsch                  , Centre-Back       
Castrop Jens                  , Not Found         
Mathias Jensen                , Central Midfield  
Oliver Jensen                 , Central Midfield  
